sample_id,tissue,true_proportion,predicted_proportion,absolute_error
Mixture_100,Epidermal,0.000000,0.000000,0.000000
Mixture_100,Gastric,0.000000,0.000000,0.000000
Mixture_100,Heart,0.000000,0.040945,0.040945
Mixture_100,Kidney,0.178582,0.111140,0.067442
Mixture_100,Liver,0.313100,0.356949,0.043849
Mixture_100,Lung,0.000000,0.052064,0.052064
Mixture_100,Neuron,0.000000,0.000000,0.000000
Mixture_100,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_100,Pancreas,0.000000,0.000000,0.000000
Mixture_100,Prostate,0.000000,0.026016,0.026016
Mixture_100,Skeletal,0.000000,0.000000,0.000000
Mixture_100,Small,0.000000,0.000000,0.000000
Mixture_101,Adipocytes,0.147281,0.000000,0.147281
Mixture_101,Aorta,0.000000,0.000000,0.000000
Mixture_101,Bladder,0.000000,0.000000,0.000000
Mixture_101,Blood,0.000000,0.000000,0.000000
Mixture_101,Bone,0.000000,0.000000,0.000000
Mixture_101,Cerebellum,0.000000,0.000000,0.000000
Mixture_101,Colon,0.000000,0.032361,0.032361
Mixture_101,Coronary,0.000000,0.000000,0.000000
Mixture_101,Cortex,0.000000,0.024857,0.024857
Mixture_101,Dermal,0.000000,0.000000,0.000000
Mixture_101,Epidermal,0.000000,0.000000,0.000000
Mixture_101,Gastric,0.547200,0.609818,0.062618
Mixture_101,Heart,0.000000,0.042203,0.042203
Mixture_101,Kidney,0.000000,0.034674,0.034674
Mixture_101,Liver,0.000000,0.028027,0.028027
Mixture_101,Lung,0.182904,0.167184,0.015720
Mixture_101,Neuron,0.000000,0.000000,0.000000
Mixture_101,Oligodendrocytes,0.000000,0.036423,0.036423
Mixture_101,Pancreas,0.000000,0.000000,0.000000
Mixture_101,Prostate,0.122615,0.024452,0.098162
Mixture_101,Skeletal,0.000000,0.000000,0.000000
Mixture_101,Small,0.000000,0.000000,0.000000
Mixture_102,Adipocytes,0.060895,0.045147,0.015748
Mixture_102,Aorta,0.000000,0.000000,0.000000
Mixture_102,Bladder,0.000000,0.000000,0.000000
Mixture_102,Blood,0.000000,0.052159,0.052159
Mixture_102,Bone,0.000000,0.055914,0.055914
Mixture_102,Cerebellum,0.570841,0.364106,0.206734
Mixture_102,Colon,0.000000,0.000000,0.000000
Mixture_102,Coronary,0.000000,0.028899,0.028899
Mixture_102,Cortex,0.000000,0.125507,0.125507
Mixture_102,Dermal,0.000000,0.000000,0.000000
Mixture_102,Epidermal,0.000000,0.000000,0.000000
Mixture_102,Gastric,0.000000,0.026617,0.026617
Mixture_102,Heart,0.000000,0.039968,0.039968
Mixture_102,Kidney,0.000000,0.000000,0.000000
Mixture_102,Liver,0.000000,0.040079,0.040079
Mixture_102,Lung,0.000000,0.037851,0.037851
Mixture_102,Neuron,0.000000,0.024697,0.024697
Mixture_102,Oligodendrocytes,0.000000,0.046564,0.046564
Mixture_102,Pancreas,0.173626,0.029343,0.144283
Mixture_102,Prostate,0.000000,0.035943,0.035943
Mixture_102,Skeletal,0.194638,0.047206,0.147431
Mixture_102,Small,0.000000,0.000000,0.000000
Mixture_103,Adipocytes,0.000000,0.000000,0.000000
Mixture_103,Aorta,0.000000,0.000000,0.000000
Mixture_103,Bladder,0.000000,0.000000,0.000000
Mixture_103,Blood,0.220859,0.077658,0.143201
Mixture_103,Bone,0.000000,0.032859,0.032859
Mixture_103,Cerebellum,0.000000,0.000000,0.000000
Mixture_103,Colon,0.000000,0.046231,0.046231
Mixture_103,Coronary,0.000000,0.000000,0.000000
Mixture_103,Cortex,0.189844,0.033891,0.155953
Mixture_103,Dermal,0.000000,0.000000,0.000000
Mixture_103,Epidermal,0.000000,0.024146,0.024146
Mixture_103,Gastric,0.589297,0.596303,0.007005
Mixture_103,Heart,0.000000,0.029137,0.029137
Mixture_103,Kidney,0.000000,0.037492,0.037492
Mixture_103,Liver,0.000000,0.039849,0.039849
Mixture_103,Lung,0.000000,0.039655,0.039655
Mixture_103,Neuron,0.000000,0.000000,0.000000
Mixture_103,Oligodendrocytes,0.000000,0.042781,0.042781
Mixture_103,Pancreas,0.000000,0.000000,0.000000
Mixture_103,Prostate,0.000000,0.000000,0.000000
Mixture_103,Skeletal,0.000000,0.000000,0.000000
Mixture_103,Small,0.000000,0.000000,0.000000
Mixture_104,Adipocytes,0.398944,0.322464,0.076481
Mixture_104,Aorta,0.000000,0.000000,0.000000
Mixture_104,Bladder,0.000000,0.000000,0.000000
Mixture_104,Blood,0.000000,0.038169,0.038169
Mixture_104,Bone,0.300774,0.285259,0.015515
Mixture_104,Cerebellum,0.000000,0.000000,0.000000
Mixture_104,Colon,0.000000,0.036841,0.036841
Mixture_104,Coronary,0.300282,0.131070,0.169212
Mixture_104,Cortex,0.000000,0.029381,0.029381
Mixture_104,Dermal,0.000000,0.000000,0.000000
Mixture_104,Epidermal,0.000000,0.000000,0.000000
Mixture_104,Gastric,0.000000,0.000000,0.000000
Mixture_104,Heart,0.000000,0.029323,0.029323
Mixture_104,Kidney,0.000000,0.000000,0.000000
Mixture_104,Liver,0.000000,0.029921,0.029921
Mixture_104,Lung,0.000000,0.050024,0.050024
Mixture_104,Neuron,0.000000,0.000000,0.000000
Mixture_104,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_104,Pancreas,0.000000,0.047548,0.047548
Mixture_104,Prostate,0.000000,0.000000,0.000000
Mixture_104,Skeletal,0.000000,0.000000,0.000000
Mixture_104,Small,0.000000,0.000000,0.000000
Mixture_105,Adipocytes,0.168639,0.094214,0.074425
Mixture_105,Aorta,0.000000,0.000000,0.000000
Mixture_105,Bladder,0.232632,0.080397,0.152235
Mixture_105,Blood,0.000000,0.000000,0.000000
Mixture_105,Bone,0.000000,0.000000,0.000000
Mixture_105,Cerebellum,0.000000,0.000000,0.000000
Mixture_105,Colon,0.000000,0.099931,0.099931
Mixture_105,Coronary,0.000000,0.000000,0.000000
Mixture_105,Cortex,0.000000,0.059136,0.059136
Mixture_105,Dermal,0.039808,0.023710,0.016098
Mixture_105,Epidermal,0.000000,0.000000,0.000000
Mixture_105,Gastric,0.000000,0.033672,0.033672
Mixture_105,Heart,0.000000,0.043609,0.043609
Mixture_105,Kidney,0.000000,0.030637,0.030637
Mixture_105,Liver,0.000000,0.073589,0.073589
Mixture_105,Lung,0.242303,0.151222,0.091081
Mixture_105,Neuron,0.000000,0.000000,0.000000
Mixture_105,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_105,Pancreas,0.316617,0.249209,0.067408
Mixture_105,Prostate,0.000000,0.031408,0.031408
Mixture_105,Skeletal,0.000000,0.029267,0.029267
Mixture_105,Small,0.000000,0.000000,0.000000
Mixture_106,Adipocytes,0.000000,0.000000,0.000000
Mixture_106,Aorta,0.000000,0.000000,0.000000
Mixture_106,Bladder,0.089142,0.000000,0.089142
Mixture_106,Blood,0.000000,0.035369,0.035369
Mixture_106,Bone,0.000000,0.000000,0.000000
Mixture_106,Cerebellum,0.000000,0.000000,0.000000
Mixture_106,Colon,0.000000,0.042976,0.042976
Mixture_106,Coronary,0.000000,0.000000,0.000000
Mixture_106,Cortex,0.000000,0.000000,0.000000
Mixture_106,Dermal,0.135253,0.076501,0.058752
Mixture_106,Epidermal,0.724153,0.753937,0.029784
Mixture_106,Gastric,0.000000,0.000000,0.000000
Mixture_106,Heart,0.000000,0.029320,0.029320
Mixture_106,Kidney,0.000000,0.032818,0.032818
Mixture_106,Liver,0.000000,0.000000,0.000000
Mixture_106,Lung,0.000000,0.000000,0.000000
Mixture_106,Neuron,0.000000,0.000000,0.000000
Mixture_106,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_106,Pancreas,0.000000,0.000000,0.000000
Mixture_106,Prostate,0.000000,0.000000,0.000000
Mixture_106,Skeletal,0.000000,0.029078,0.029078
Mixture_106,Small,0.051453,0.000000,0.051453
Mixture_107,Adipocytes,0.000000,0.000000,0.000000
Mixture_107,Aorta,0.109480,0.046514,0.062966
Mixture_107,Bladder,0.000000,0.026408,0.026408
Mixture_107,Blood,0.000000,0.000000,0.000000
Mixture_107,Bone,0.000000,0.035682,0.035682
Mixture_107,Cerebellum,0.362284,0.127012,0.235272
Mixture_107,Colon,0.000000,0.028291,0.028291
Mixture_107,Coronary,0.000000,0.000000,0.000000
Mixture_107,Cortex,0.000000,0.060511,0.060511
Mixture_107,Dermal,0.000000,0.000000,0.000000
Mixture_107,Epidermal,0.000000,0.027490,0.027490
Mixture_107,Gastric,0.000000,0.081666,0.081666
Mixture_107,Heart,0.000000,0.037875,0.037875
Mixture_107,Kidney,0.000000,0.000000,0.000000
Mixture_107,Liver,0.000000,0.030669,0.030669
Mixture_107,Lung,0.528236,0.443422,0.084814
Mixture_107,Neuron,0.000000,0.025165,0.025165
Mixture_107,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_107,Pancreas,0.000000,0.000000,0.000000
Mixture_107,Prostate,0.000000,0.029295,0.029295
Mixture_107,Skeletal,0.000000,0.000000,0.000000
Mixture_107,Small,0.000000,0.000000,0.000000
Mixture_108,Adipocytes,0.000000,0.000000,0.000000
Mixture_108,Aorta,0.000000,0.022128,0.022128
Mixture_108,Bladder,0.148557,0.033355,0.115202
Mixture_108,Blood,0.000000,0.029504,0.029504
Mixture_108,Bone,0.202121,0.100300,0.101820
Mixture_108,Cerebellum,0.000000,0.000000,0.000000
Mixture_108,Colon,0.000000,0.036487,0.036487
Mixture_108,Coronary,0.343136,0.184731,0.158405
Mixture_108,Cortex,0.000000,0.000000,0.000000
Mixture_108,Dermal,0.000000,0.038282,0.038282
Mixture_108,Epidermal,0.000000,0.025313,0.025313
Mixture_108,Gastric,0.000000,0.031112,0.031112
Mixture_108,Heart,0.000000,0.035567,0.035567
Mixture_108,Kidney,0.000000,0.000000,0.000000
Mixture_108,Liver,0.000000,0.042775,0.042775
Mixture_108,Lung,0.000000,0.046217,0.046217
Mixture_108,Neuron,0.000000,0.025227,0.025227
Mixture_108,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_108,Pancreas,0.000000,0.021947,0.021947
Mixture_108,Prostate,0.000000,0.024932,0.024932
Mixture_108,Skeletal,0.000000,0.032817,0.032817
Mixture_108,Small,0.306186,0.269305,0.036880
Mixture_109,Adipocytes,0.000000,0.029046,0.029046
Mixture_109,Aorta,0.000000,0.000000,0.000000
Mixture_109,Bladder,0.000000,0.024100,0.024100
Mixture_109,Blood,0.000000,0.037938,0.037938
Mixture_109,Bone,0.000000,0.031718,0.031718
Mixture_109,Cerebellum,0.000000,0.031847,0.031847
Mixture_109,Colon,0.000000,0.061376,0.061376
Mixture_109,Coronary,0.000000,0.024024,0.024024
Mixture_109,Cortex,0.350943,0.159560,0.191383
Mixture_109,Dermal,0.000000,0.033882,0.033882
Mixture_109,Epidermal,0.542821,0.447786,0.095035
Mixture_109,Gastric,0.000000,0.000000,0.000000
Mixture_109,Heart,0.000000,0.040645,0.040645
Mixture_109,Kidney,0.000000,0.025246,0.025246
Mixture_109,Liver,0.000000,0.000000,0.000000
Mixture_109,Lung,0.000000,0.000000,0.000000
Mixture_109,Neuron,0.000000,0.000000,0.000000
Mixture_109,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_109,Pancreas,0.000000,0.000000,0.000000
Mixture_109,Prostate,0.000000,0.028944,0.028944
Mixture_109,Skeletal,0.000000,0.000000,0.000000
Mixture_109,Small,0.106236,0.023887,0.082349
Mixture_11,Adipocytes,0.000000,0.027833,0.027833
Mixture_11,Aorta,0.000000,0.023841,0.023841
Mixture_11,Bladder,0.000000,0.030790,0.030790
Mixture_11,Blood,0.000000,0.036630,0.036630
Mixture_11,Bone,0.000000,0.029588,0.029588
Mixture_11,Cerebellum,0.298065,0.049757,0.248308
Mixture_11,Colon,0.168762,0.149678,0.019084
Mixture_11,Coronary,0.000000,0.000000,0.000000
Mixture_11,Cortex,0.000000,0.070959,0.070959
Mixture_11,Dermal,0.000000,0.039373,0.039373
Mixture_11,Epidermal,0.473878,0.371584,0.102295
Mixture_11,Gastric,0.000000,0.024037,0.024037
Mixture_11,Heart,0.029541,0.050286,0.020746
Mixture_11,Kidney,0.000000,0.022382,0.022382
Mixture_11,Liver,0.000000,0.000000,0.000000
Mixture_11,Lung,0.000000,0.027657,0.027657
Mixture_11,Neuron,0.000000,0.000000,0.000000
Mixture_11,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_11,Pancreas,0.029755,0.000000,0.029755
Mixture_11,Prostate,0.000000,0.045606,0.045606
Mixture_11,Skeletal,0.000000,0.000000,0.000000
Mixture_11,Small,0.000000,0.000000,0.000000
Mixture_110,Adipocytes,0.000000,0.000000,0.000000
Mixture_110,Aorta,0.000000,0.000000,0.000000
Mixture_110,Bladder,0.286468,0.166479,0.119988
Mixture_110,Blood,0.000000,0.028270,0.028270
Mixture_110,Bone,0.000000,0.048781,0.048781
Mixture_110,Cerebellum,0.000000,0.000000,0.000000
Mixture_110,Colon,0.000000,0.000000,0.000000
Mixture_110,Coronary,0.000000,0.032061,0.032061
Mixture_110,Cortex,0.000000,0.000000,0.000000
Mixture_110,Dermal,0.400939,0.291154,0.109785
Mixture_110,Epidermal,0.000000,0.000000,0.000000
Mixture_110,Gastric,0.000000,0.029628,0.029628
Mixture_110,Heart,0.000000,0.038214,0.038214
Mixture_110,Kidney,0.000000,0.000000,0.000000
Mixture_110,Liver,0.000000,0.057199,0.057199
Mixture_110,Lung,0.000000,0.067909,0.067909
Mixture_110,Neuron,0.000000,0.000000,0.000000
Mixture_110,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_110,Pancreas,0.000000,0.051632,0.051632
Mixture_110,Prostate,0.138566,0.083198,0.055368
Mixture_110,Skeletal,0.174028,0.065396,0.108632
Mixture_110,Small,0.000000,0.040080,0.040080
Mixture_111,Adipocytes,0.000000,0.023957,0.023957
Mixture_111,Aorta,0.000000,0.000000,0.000000
Mixture_111,Bladder,0.000000,0.000000,0.000000
Mixture_111,Blood,0.601529,0.479713,0.121816
Mixture_111,Bone,0.000000,0.000000,0.000000
Mixture_111,Cerebellum,0.010602,0.000000,0.010602
Mixture_111,Colon,0.000000,0.048344,0.048344
Mixture_111,Coronary,0.266367,0.164056,0.102312
Mixture_111,Cortex,0.000000,0.025186,0.025186
Mixture_111,Dermal,0.047790,0.000000,0.047790
Mixture_111,Epidermal,0.000000,0.038547,0.038547
Mixture_111,Gastric,0.000000,0.000000,0.000000
Mixture_111,Heart,0.000000,0.068545,0.068545
Mixture_111,Kidney,0.000000,0.000000,0.000000
Mixture_111,Liver,0.000000,0.055995,0.055995
Mixture_111,Lung,0.073711,0.055107,0.018604
Mixture_111,Neuron,0.000000,0.000000,0.000000
Mixture_111,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_111,Pancreas,0.000000,0.000000,0.000000
Mixture_111,Prostate,0.000000,0.040550,0.040550
Mixture_111,Skeletal,0.000000,0.000000,0.000000
Mixture_111,Small,0.000000,0.000000,0.000000
Mixture_112,Adipocytes,0.000000,0.024002,0.024002
Mixture_112,Aorta,0.000000,0.000000,0.000000
Mixture_112,Bladder,0.000000,0.000000,0.000000
Mixture_112,Blood,0.000000,0.000000,0.000000
Mixture_112,Bone,0.000000,0.039350,0.039350
Mixture_112,Cerebellum,0.172938,0.035387,0.137551
Mixture_112,Colon,0.000000,0.046097,0.046097
Mixture_112,Coronary,0.000000,0.000000,0.000000
Mixture_112,Cortex,0.000000,0.080718,0.080718
Mixture_112,Dermal,0.000000,0.000000,0.000000
Mixture_112,Epidermal,0.000000,0.000000,0.000000
Mixture_112,Gastric,0.000000,0.024869,0.024869
Mixture_112,Heart,0.000000,0.038942,0.038942
Mixture_112,Kidney,0.000000,0.000000,0.000000
Mixture_112,Liver,0.000000,0.028250,0.028250
Mixture_112,Lung,0.000000,0.025061,0.025061
Mixture_112,Neuron,0.165054,0.074900,0.090154
Mixture_112,Oligodendrocytes,0.168794,0.100281,0.068513
Mixture_112,Pancreas,0.000000,0.000000,0.000000
Mixture_112,Prostate,0.493214,0.482143,0.011071
Mixture_112,Skeletal,0.000000,0.000000,0.000000
Mixture_112,Small,0.000000,0.000000,0.000000
Mixture_113,Adipocytes,0.000000,0.000000,0.000000
Mixture_113,Aorta,0.156480,0.000000,0.156480
Mixture_113,Bladder,0.000000,0.000000,0.000000
Mixture_113,Blood,0.000000,0.058892,0.058892
Mixture_113,Bone,0.605190,0.848115,0.242925
Mixture_113,Cerebellum,0.000000,0.000000,0.000000
Mixture_113,Colon,0.059504,0.025388,0.034116
Mixture_113,Coronary,0.000000,0.000000,0.000000
Mixture_113,Cortex,0.000000,0.000000,0.000000
Mixture_113,Dermal,0.000000,0.031307,0.031307
Mixture_113,Epidermal,0.000000,0.000000,0.000000
Mixture_113,Gastric,0.000000,0.000000,0.000000
Mixture_113,Heart,0.000000,0.000000,0.000000
Mixture_113,Kidney,0.000000,0.000000,0.000000
Mixture_113,Liver,0.000000,0.000000,0.000000
Mixture_113,Lung,0.000000,0.000000,0.000000
Mixture_113,Neuron,0.000000,0.036299,0.036299
Mixture_113,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_113,Pancreas,0.000000,0.000000,0.000000
Mixture_113,Prostate,0.000000,0.000000,0.000000
Mixture_113,Skeletal,0.178826,0.000000,0.178826
Mixture_113,Small,0.000000,0.000000,0.000000
Mixture_114,Adipocytes,0.000000,0.000000,0.000000
Mixture_114,Aorta,0.000000,0.000000,0.000000
Mixture_114,Bladder,0.000000,0.000000,0.000000
Mixture_114,Blood,0.000000,0.000000,0.000000
Mixture_114,Bone,0.000000,0.035917,0.035917
Mixture_114,Cerebellum,0.000000,0.000000,0.000000
Mixture_114,Colon,0.000000,0.070441,0.070441
Mixture_114,Coronary,0.000000,0.000000,0.000000
Mixture_114,Cortex,0.000000,0.000000,0.000000
Mixture_114,Dermal,0.000000,0.000000,0.000000
Mixture_114,Epidermal,0.000000,0.000000,0.000000
Mixture_114,Gastric,0.000000,0.024265,0.024265
Mixture_114,Heart,0.000000,0.026302,0.026302
Mixture_114,Kidney,0.000000,0.000000,0.000000
Mixture_114,Liver,0.000000,0.000000,0.000000
Mixture_114,Lung,0.000000,0.000000,0.000000
Mixture_114,Neuron,0.122103,0.058740,0.063363
Mixture_114,Oligodendrocytes,0.494152,0.466801,0.027352
Mixture_114,Pancreas,0.108200,0.037352,0.070848
Mixture_114,Prostate,0.275545,0.280184,0.004639
Mixture_114,Skeletal,0.000000,0.000000,0.000000
Mixture_114,Small,0.000000,0.000000,0.000000
Mixture_115,Adipocytes,0.000000,0.025560,0.025560
Mixture_115,Aorta,0.000000,0.000000,0.000000
Mixture_115,Bladder,0.050098,0.000000,0.050098
Mixture_115,Blood,0.000000,0.032397,0.032397
Mixture_115,Bone,0.000000,0.022123,0.022123
Mixture_115,Cerebellum,0.000000,0.000000,0.000000
Mixture_115,Colon,0.000000,0.041129,0.041129
Mixture_115,Coronary,0.000000,0.000000,0.000000
Mixture_115,Cortex,0.579818,0.512408,0.067410
Mixture_115,Dermal,0.000000,0.023279,0.023279
Mixture_115,Epidermal,0.000000,0.033567,0.033567
Mixture_115,Gastric,0.000000,0.027275,0.027275
Mixture_115,Heart,0.028718,0.024284,0.004435
Mixture_115,Kidney,0.000000,0.000000,0.000000
Mixture_115,Liver,0.000000,0.039316,0.039316
Mixture_115,Lung,0.027016,0.036130,0.009114
Mixture_115,Neuron,0.000000,0.025807,0.025807
Mixture_115,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_115,Pancreas,0.000000,0.000000,0.000000
Mixture_115,Prostate,0.000000,0.027647,0.027647
Mixture_115,Skeletal,0.000000,0.035395,0.035395
Mixture_115,Small,0.314349,0.093682,0.220666
Mixture_116,Adipocytes,0.000000,0.000000,0.000000
Mixture_116,Aorta,0.000000,0.000000,0.000000
Mixture_116,Bladder,0.544326,0.374743,0.169583
Mixture_116,Blood,0.000000,0.000000,0.000000
Mixture_116,Bone,0.000000,0.000000,0.000000
Mixture_116,Cerebellum,0.000000,0.000000,0.000000
Mixture_116,Colon,0.000000,0.034653,0.034653
Mixture_116,Coronary,0.000000,0.000000,0.000000
Mixture_116,Cortex,0.335469,0.199479,0.135990
Mixture_116,Dermal,0.000000,0.028869,0.028869
Mixture_116,Epidermal,0.000000,0.036726,0.036726
Mixture_116,Gastric,0.000000,0.043018,0.043018
Mixture_116,Heart,0.000000,0.027328,0.027328
Mixture_116,Kidney,0.000000,0.000000,0.000000
Mixture_116,Liver,0.120206,0.073958,0.046248
Mixture_116,Lung,0.000000,0.000000,0.000000
Mixture_116,Neuron,0.000000,0.086826,0.086826
Mixture_116,Oligodendrocytes,0.000000,0.028827,0.028827
Mixture_116,Pancreas,0.000000,0.041777,0.041777
Mixture_116,Prostate,0.000000,0.000000,0.000000
Mixture_116,Skeletal,0.000000,0.023797,0.023797
Mixture_116,Small,0.000000,0.000000,0.000000
Mixture_117,Adipocytes,0.000000,0.025653,0.025653
Mixture_117,Aorta,0.000000,0.022504,0.022504
Mixture_117,Bladder,0.000000,0.031619,0.031619
Mixture_117,Blood,0.000000,0.031460,0.031460
Mixture_117,Bone,0.000000,0.030782,0.030782
Mixture_117,Cerebellum,0.238914,0.070881,0.168033
Mixture_117,Colon,0.000000,0.039770,0.039770
Mixture_117,Coronary,0.000000,0.000000,0.000000
Mixture_117,Cortex,0.000000,0.037629,0.037629
Mixture_117,Dermal,0.000000,0.000000,0.000000
Mixture_117,Epidermal,0.000000,0.000000,0.000000
Mixture_117,Gastric,0.000000,0.026432,0.026432
Mixture_117,Heart,0.000000,0.024185,0.024185
Mixture_117,Kidney,0.000000,0.023923,0.023923
Mixture_117,Liver,0.224589,0.237289,0.012699
Mixture_117,Lung,0.261473,0.167988,0.093485
Mixture_117,Neuron,0.000000,0.000000,0.000000
Mixture_117,Oligodendrocytes,0.000000,0.037940,0.037940
Mixture_117,Pancreas,0.000000,0.000000,0.000000
Mixture_117,Prostate,0.000000,0.034756,0.034756
Mixture_117,Skeletal,0.000000,0.051656,0.051656
Mixture_117,Small,0.275024,0.105534,0.169490
Mixture_118,Adipocytes,0.616207,0.499893,0.116315
Mixture_118,Aorta,0.000000,0.000000,0.000000
Mixture_118,Bladder,0.000000,0.023935,0.023935
Mixture_118,Blood,0.000000,0.041388,0.041388
Mixture_118,Bone,0.208771,0.154700,0.054071
Mixture_118,Cerebellum,0.000000,0.000000,0.000000
Mixture_118,Colon,0.000000,0.040574,0.040574
Mixture_118,Coronary,0.000000,0.000000,0.000000
Mixture_118,Cortex,0.000000,0.000000,0.000000
Mixture_118,Dermal,0.000000,0.024344,0.024344
Mixture_118,Epidermal,0.175022,0.064499,0.110523
Mixture_118,Gastric,0.000000,0.000000,0.000000
Mixture_118,Heart,0.000000,0.027057,0.027057
Mixture_118,Kidney,0.000000,0.000000,0.000000
Mixture_118,Liver,0.000000,0.054403,0.054403
Mixture_118,Lung,0.000000,0.000000,0.000000
Mixture_118,Neuron,0.000000,0.000000,0.000000
Mixture_118,Oligodendrocytes,0.000000,0.000000,0.000000
Mixture_118,Pancreas,0.000000,0.000000,0.000000
Mixture_118,Prostate,0.000000,0.035198,0.035198
Mixture_118,Skeletal,0.000000,0.034009,0.034009
Mixture_118,Small,0.000000,0.000000,0.000000
Mixture_119,Adipocytes,0.000000,0.000000,0.000000
Mixture_119,Aorta,0.000000,0.000000,0.000000
Mixture_119,Bladder,0.000000,0.000000,0.000000
Mixture_119,Blood,0.258290,0.207993,0.050296
Mixture_119,Bone,0.000000,0.034116,0.034116
Mixture_119,Cerebellum,0.099040,0.030899,0.068140
